experiment,epoch,train_loss,val_loss,val_accuracy
B1_Basic_SGD,1,2.30313133354187,2.3036332263946533,0.1065
B1_Basic_SGD,2,2.3027624824523927,2.303216190338135,0.1065
B1_Basic_SGD,3,2.302438259124756,2.3027915115356445,0.1065
B1_Basic_SGD,4,2.302152030181885,2.3024612712860106,0.1065
B2_BN_DO02_SGDM,1,0.9929106327056885,0.498942364692688,0.8185
B2_BN_DO02_SGDM,2,0.2903186414003372,0.20751804494857787,0.9285
B2_BN_DO02_SGDM,3,0.19359132394790649,0.2732904369831085,0.919
B2_BN_DO02_SGDM,4,0.1559166163086891,0.1416659780740738,0.9515
B2_BN_DO05_SGDM,1,1.1471682335853577,0.4732378039360046,0.845
B2_BN_DO05_SGDM,2,0.3886624593734741,0.22253787350654602,0.921
B2_BN_DO05_SGDM,3,0.2538939669370651,0.24732724940776826,0.926
B2_BN_DO05_SGDM,4,0.19485190700292587,0.3585878043174744,0.895
B2_BN_DO02_Adam,1,0.8692935509681702,0.3992888984680176,0.8655
B2_BN_DO02_Adam,2,0.2672657444477081,0.23291778230667115,0.9205
B2_BN_DO02_Adam,3,0.1821361063182354,0.1835473970770836,0.936
B2_BN_DO02_Adam,4,0.13695204306244851,0.1093486522436142,0.965
B2_BN_DO05_Adam,1,1.006930778980255,0.6491996088027954,0.8095
B2_BN_DO05_Adam,2,0.317649463891983,0.20200143575668336,0.9285
B2_BN_DO05_Adam,3,0.23832582485675813,0.34906736826896667,0.892
B2_BN_DO05_Adam,4,0.1725495794892311,0.242102600812912,0.928
